product_ko,product_en,brand_ko,brand_en,category,container,data_type,scoville_shu,scoville_min,scoville_max,measured_on,version_year,spice_level_label,perceived_level,price_min_krw,price_max_krw,brand_domain,collected_date,source_url,reliability,manual_collection,note
열라면,Yeul Ramen,오뚜기,Ottogi,라면-국물,봉지,official_spec,5013,,,스프,,,,,,ottogi.co.kr,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,
괄도네넴띤,Gwaldo,팔도,Paldo,라면-비빔,봉지,official_spec,5894,,,소스,,,,,,paldofood.co.kr,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,팔도비빔면 한정판
도전 하바네로라면,Habanero,이마트,Emart,라면-국물,봉지,official_spec,5930,,,스프,,,,,,emart.com,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,PB. 본문엔 5903 충돌
신라면 더 레드,Shin Red,농심,Nongshim,라면-국물,봉지,official_spec,7500,,,스프,,,,,,nongshim.com,2026-06-10,https://www.newsspace.kr/news/article.html?no=7953,중,FALSE,신라면 매운버전
앵그리 너구리,Angry Neoguri,농심,Nongshim,라면-국물,봉지,official_spec,6080,,,스프,,,,,,nongshim.com,2026-06-10,https://www.newsspace.kr/news/article.html?no=7953,중,FALSE,
맵탱,Maeptang,삼양식품,Samyang,라면-국물,봉지,official_spec,6000,,,스프,,,,,,samyangfoods.com,2026-06-10,https://www.newsspace.kr/news/article.html?no=7953,중,FALSE,3종
장인라면 맵싸한맛,Jangin Spicy,하림,Harim,라면-국물,봉지,official_spec,8000,,,스프,,,,,,harim.com,2026-06-10,https://www.newsspace.kr/news/article.html?no=7953,중,FALSE,
팔도비빔면,Paldo Bibimmyeon,팔도,Paldo,라면-비빔,봉지,official_spec,2652,,,소스,,,,,,paldofood.co.kr,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,
팔도 쫄비빔면,Jjol Bibim,팔도,Paldo,라면-비빔,봉지,official_spec,2769,,,소스,,,,,,paldofood.co.kr,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,
너구리,Neoguri,농심,Nongshim,라면-국물,봉지,official_spec,2300,,,스프,,,,,,nongshim.com,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,오징어짬뽕 동급
진라면 매운맛,Jin Spicy,오뚜기,Ottogi,라면-국물,봉지,perception,,2000,3000,스프,,,,,,ottogi.co.kr,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,소비자맞춰 2000→3000 상향 보도
진라면 순한맛,Jin Mild,오뚜기,Ottogi,라면-국물,봉지,perception,640,,,스프,,,,,,ottogi.co.kr,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,
삼양라면 매운맛,Samyang Spicy,삼양식품,Samyang,라면-국물,봉지,perception,3000,,,스프,,,,,,samyangfoods.com,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,
삼양라면,Samyang Ramen,삼양식품,Samyang,라면-국물,봉지,perception,950,,,스프,,,,,,samyangfoods.com,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,
신라면,Shin Ramyun,농심,Nongshim,라면-국물,봉지,perception,1300,,,스프,2012,,,,,nongshim.com,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,과거 집계값. 연도차 주의
신라면,Shin Ramyun,농심,Nongshim,라면-국물,봉지,perception,3400,,,스프,2022,,,,,nongshim.com,2026-06-10,https://www.newstopkorea.com/news/articleView.html?idxno=29816,중,FALSE,2022 상향. 연도차로 행분리
안성탕면,Ansungtangmyun,농심,Nongshim,라면-국물,봉지,perception,570,,,스프,,,,,,nongshim.com,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,순한 축
염라대왕라면,Yeomra,아름,Areum,라면-국물,봉지,perception,21000,,,스프,,,극강,,,,2026-06-10,https://www.newsspace.kr/news/article.html?no=7953,하,TRUE,랭킹집계·추정. 제조사 공식확인 어려움
불마왕라면,Bulmawang,금비유통,Geumbi,라면-국물,봉지,perception,14444,,,스프,,,극강,,,,2026-06-10,https://www.newsspace.kr/news/article.html?no=7953,하,TRUE,랭킹집계·추정
킹뚜껑,King Cup,팔도,Paldo,라면-국물,컵,perception,12000,,,소스,,,매우매움,,,paldofood.co.kr,2026-06-10,https://www.newsspace.kr/news/article.html?no=7953,하,TRUE,랭킹집계·추정
타바스코 소스,Tabasco,맥일레니,McIlhenny,소스,병,official_spec,,2500,5000,원물,,,,,,,2026-06-10,https://ko.wikipedia.org/wiki/스코빌_척도,중,FALSE,기준선
엽기떡볶이 오리지널,Yupdduk Original,엽기떡볶이,Yupdduk,떡볶이,_general,perception,,,,완성품,,고추3개,매움,,,yupdduk.com,2026-06-10,,하,TRUE,"SHU 미표기, 고추 단계만(착한0.5/덜1/오리지널3/매운5)"
엽기떡볶이 매운맛,Yupdduk Hot,엽기떡볶이,Yupdduk,떡볶이,_general,perception,,,,완성품,,고추5개,극강,,,yupdduk.com,2026-06-10,,하,TRUE,쿨피스없이 먹으면 인정 평. SHU 미표기
파퀴칩(죽음의 과자),Paqui Chip,파퀴,Paqui,스낵,_general,official_spec,,2000000,2200000,완성품,,,극강,,,paqui.com,2026-06-10,https://ko.wikipedia.org/wiki/스코빌_척도,중,FALSE,캐롤라이나 리퍼 사용. 해외 비교 기준선
풋고추,Green Pepper,_기준선,Reference,고추기준,원물,official_spec,,1000,2000,원물,,,,,,,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,신라면보다 약간 매움
청양고추,Cheongyang,_기준선,Reference,고추기준,원물,official_spec,,4000,12000,원물,,,,,,,2026-06-10,https://namu.wiki/w/청양고추,중,FALSE,한국 매운맛 대명사. 평균 약10000
할라피뇨,Jalapeno,_기준선,Reference,고추기준,원물,official_spec,,2500,10000,원물,,,,,,,2026-06-10,https://ko.wikipedia.org/wiki/스코빌_척도,중,FALSE,기준선
부트졸로키아(귀신고추),Bhut Jolokia,_기준선,Reference,고추기준,원물,official_spec,,80000,1000000,원물,,,,,,,2026-06-10,https://ko.wikipedia.org/wiki/스코빌_척도,중,FALSE,기준선
캐롤라이나 리퍼,Carolina Reaper,_기준선,Reference,고추기준,원물,official_spec,,1570000,2200000,원물,,,극강,,,,2026-06-10,https://ko.wikipedia.org/wiki/스코빌_척도,중,FALSE,기네스 최고기록급
순수 캡사이신,Pure Capsaicin,_기준선,Reference,고추기준,원물,official_spec,,15000000,16000000,원물,,,극강,,,,2026-06-10,https://ko.wikipedia.org/wiki/스코빌_척도,중,FALSE,이론 최대. ppm×16=SHU
