brand_ko,brand_en,category,size_label,volume_ml,volume_oz,cup_or_fill,hot_or_iced,data_type,price_krw,reputation_tag,brand_domain,collected_date,source_url,reliability,manual_collection,note
컴포즈커피,Compose Coffee,저가대용량,20oz(기본),591,20,컵,공용,official_spec,1500,가성비,composecoffee.com,2026-06-10,https://composecoffee.com,상,FALSE,핫 기준. 아이스 1800원
컴포즈커피,Compose Coffee,저가대용량,빅포즈(32oz),946,32,컵,아이스,official_spec,3000,초대용량,composecoffee.com,2026-06-10,https://composecoffee.com,상,FALSE,"4샷, 아이스·테이크아웃 전용"
빽다방,Paik's Coffee,저가대용량,기본,400,,충전,핫,perception,1500,가성비,paikdabang.com,2026-06-10,,하,FALSE,집계차 420
빽다방,Paik's Coffee,저가대용량,기본,625,,충전,아이스,perception,2000,가성비,paikdabang.com,2026-06-10,,하,FALSE,
빽다방,Paik's Coffee,저가대용량,빽사이즈,946,,컵,아이스,perception,3500,초대용량,paikdabang.com,2026-06-10,,하,FALSE,"약 946~950, 4샷"
더벤티,The Venti,저가대용량,라지(기본),570,,충전,핫,perception,1500,가성비,theventi.co.kr,2026-06-10,,하,TRUE,아이스 680. 공식사이트 봇차단→수동
더벤티,The Venti,저가대용량,라지(기본),680,,충전,아이스,perception,1800,가성비,theventi.co.kr,2026-06-10,,하,TRUE,공식사이트 봇차단→수동
더벤티,The Venti,저가대용량,더벤티사이즈,955,,컵,아이스,perception,,초대용량,theventi.co.kr,2026-06-10,,하,TRUE,약 950~960. 수동확인
더벤티,The Venti,저가대용량,점보,,,컵,아이스,perception,,초대용량,theventi.co.kr,2026-06-10,,하,TRUE,"라지2배·쿼드샷, 정확mL 미확인 데이터없음"
더리터,The Liter,저가대용량,스몰리터(14oz),414,14,컵,아이스,official_spec,,,theliter.com,2026-06-10,https://www.theliter.com,상,FALSE,
더리터,The Liter,저가대용량,"미니리터(24oz,기본)",710,24,컵,아이스,official_spec,2800,,theliter.com,2026-06-10,https://www.theliter.com,상,FALSE,
더리터,The Liter,저가대용량,리터(32oz),946,32,컵,아이스,official_spec,3800,초대용량,theliter.com,2026-06-10,https://www.theliter.com,상,FALSE,"'1L'마케팅이나 실제 약0.95L, 2샷"
매머드커피,Mammoth Coffee,저가대용량,S,355,,충전,공용,perception,1200,,,2026-06-10,,하,FALSE,
매머드커피,Mammoth Coffee,저가대용량,M(기본),473,,충전,공용,perception,1600,,,2026-06-10,,하,FALSE,
매머드커피,Mammoth Coffee,저가대용량,L,600,,충전,공용,perception,3000,,,2026-06-10,,하,FALSE,600mL+. 32oz 대형 별도
이디야,EDIYA,대형체인,레귤러(과거),420,14,컵,공용,official_spec,,,ediya.com,2026-06-10,https://www.ediya.com,상,FALSE,2022.12 기본을 라지로 확대
이디야,EDIYA,대형체인,라지,532,18,컵,공용,official_spec,3200,,ediya.com,2026-06-10,https://www.ediya.com,상,FALSE,2025.12 전음료 기본 18oz 통일
이디야,EDIYA,대형체인,엑스트라,709,24,컵,공용,official_spec,4400,,ediya.com,2026-06-10,https://www.ediya.com,상,FALSE,과거22oz 650→24oz 709
할리스,HOLLYS,대형체인,레귤러,354,12,컵,공용,perception,4500,,hollys.com,2026-06-10,,하,FALSE,
할리스,HOLLYS,대형체인,그란데,472,16,컵,공용,perception,5000,,hollys.com,2026-06-10,,하,FALSE,
할리스,HOLLYS,대형체인,벤티,591,20,컵,공용,perception,5500,,hollys.com,2026-06-10,,하,FALSE,
엔제리너스,Angel-in-us,대형체인,스몰,355,12,컵,공용,perception,,,angelinus.com,2026-06-10,,하,FALSE,330~355
엔제리너스,Angel-in-us,대형체인,레귤러,473,16,컵,공용,perception,,,angelinus.com,2026-06-10,,하,FALSE,440~473
엔제리너스,Angel-in-us,대형체인,라지,591,20,컵,공용,perception,,,angelinus.com,2026-06-10,,하,FALSE,550~591
탐앤탐스,TOM N TOMS,대형체인,Tall,355,12,컵,공용,perception,4400,,tomntoms.com,2026-06-10,,하,FALSE,추정
탐앤탐스,TOM N TOMS,대형체인,Grande,473,16,컵,공용,perception,4900,,tomntoms.com,2026-06-10,,하,FALSE,추정
탐앤탐스,TOM N TOMS,대형체인,Venti,591,20,컵,공용,perception,5600,,tomntoms.com,2026-06-10,,하,FALSE,추정
팀홀튼,Tim Hortons,대형체인,M,414,14,컵,공용,perception,4000,,timhortons.com,2026-06-10,,하,TRUE,"한국공식 용량표 미확인, 글로벌추정. JS렌더→수동"
팀홀튼,Tim Hortons,대형체인,L,591,20,컵,공용,perception,,,timhortons.com,2026-06-10,,하,TRUE,글로벌추정. 수동확인
공차,Gong cha,차/디저트,레귤러,355,12,컵,공용,perception,,,gong-cha.com,2026-06-10,,하,FALSE,공식은 g표기
공차,Gong cha,차/디저트,라지,473,16,컵,아이스,perception,,,gong-cha.com,2026-06-10,,하,FALSE,"공식 454g, 실측 약473"
공차,Gong cha,차/디저트,점보,700,24,컵,아이스,perception,,초대용량,gong-cha.com,2026-06-10,,하,FALSE,"공식 624g, 실측 약651"
스무디킹,Smoothie King,차/디저트,S,360,12,컵,공용,perception,,,smoothieking.com,2026-06-10,,하,FALSE,2025.10 한국 영업종료 예정
스무디킹,Smoothie King,차/디저트,R,480,16,컵,공용,perception,,,smoothieking.com,2026-06-10,,하,FALSE,
스무디킹,Smoothie King,차/디저트,L,600,20,컵,공용,perception,,,smoothieking.com,2026-06-10,,하,FALSE,
쥬씨,JUICY,차/디저트,M,500,,충전,공용,perception,1500,,,2026-06-10,,하,FALSE,약500
쥬씨,JUICY,차/디저트,XL,780,,충전,공용,official_spec,2800,과대광고이력,,2026-06-10,https://www.ftc.go.kr,중,FALSE,광고1000mL이나 용기830·음료600~780. 공정위 2017.6.14 시정명령+과징금2600만원
맥도날드,McDonald's,패스트푸드,콜라 S,320,,충전,아이스,perception,,,mcdonalds.com,2026-06-10,,하,FALSE,
맥도날드,McDonald's,패스트푸드,콜라 M,425,,충전,아이스,official_spec,,,mcdonalds.com,2026-06-10,https://www.mcdonalds.co.kr,중,FALSE,공식 영양분석표
맥도날드,McDonald's,패스트푸드,콜라 L,610,,충전,아이스,official_spec,,,mcdonalds.com,2026-06-10,https://www.mcdonalds.co.kr,중,FALSE,공식 영양분석표
롯데리아,Lotteria,패스트푸드,콜라 M(기본),,,충전,아이스,perception,,,lotteria.com,2026-06-10,,하,TRUE,정확mL 미확인 데이터없음
버거킹,Burger King,패스트푸드,콜라 M,,,충전,아이스,perception,,,burgerking.com,2026-06-10,,하,TRUE,정확mL 미확인 데이터없음
