name,brand,type,standard,bands,max_speed_mbps,antennas,interface,price_krw,price_usd,reliability,source,note
ASUS USB-AX56,ASUS,USB adapter,WiFi 6,2.4/5GHz,1800,2,USB 3.0,45000,33,상,제조사 spec,AX1800급 / 가격 대략(2026-07)
Netgear A8000,Netgear,USB adapter,WiFi 6E,2.4/5/6GHz,1200,2,USB 3.0,70000,52,상,제조사 spec,AXE3000급 / 가격 대략(2026-07)
D-Link DWA-X1850,D-Link,USB adapter,WiFi 6,2.4/5GHz,1800,2,USB 3.0,40000,30,상,제조사 spec,AX1800급 / 가격 대략(2026-07)
TP-Link Archer AX55,TP-Link,Router,WiFi 6,2.4/5GHz,3000,4,RJ45 Gigabit,75000,56,상,제조사 spec,AX3000 / 가격 대략(2026-07)
TP-Link Archer AX73,TP-Link,Router,WiFi 6,2.4/5GHz,5400,6,RJ45 Gigabit,130000,96,상,제조사 spec,AX5400 / 가격 대략(2026-07)
TP-Link Archer AXE75,TP-Link,Router,WiFi 6E,2.4/5/6GHz,5400,6,RJ45 Gigabit,180000,133,상,제조사 spec,AXE5400 / 가격 대략(2026-07)
TP-Link Archer BE550,TP-Link,Router,WiFi 7,2.4/5/6GHz,9214,8,RJ45 2.5G,270000,200,상,제조사 spec,BE9300 / 가격 대략(2026-07)
TP-Link Archer BE800,TP-Link,Router,WiFi 7,2.4/5/6GHz,19000,8,RJ45 10G,540000,400,상,제조사 spec,BE19000 / 가격 대략(2026-07)
ASUS RT-AX88U,ASUS,Router,WiFi 6,2.4/5GHz,6000,8,RJ45 Gigabit,310000,230,상,제조사 spec,AX6000 / 가격 대략(2026-07)
ASUS RT-AX86U,ASUS,Router,WiFi 6,2.4/5GHz,5700,3,RJ45 2.5G,290000,215,상,제조사 spec,AX5700 / 가격 대략(2026-07)
ASUS ROG Rapture GT-AXE11000,ASUS,Router,WiFi 6E,2.4/5/6GHz,11000,8,RJ45 2.5G,540000,400,상,제조사 spec,AXE11000 / 가격 대략(2026-07)
ASUS RT-BE96U,ASUS,Router,WiFi 7,2.4/5/6GHz,19000,8,RJ45 10G,650000,481,상,제조사 spec,BE19000 / 가격 대략(2026-07)
Netgear Nighthawk RAX50,Netgear,Router,WiFi 6,2.4/5GHz,5400,6,RJ45 Gigabit,215000,159,상,제조사 spec,AX5400 / 가격 대략(2026-07)
Netgear Nighthawk RAXE500,Netgear,Router,WiFi 6E,2.4/5/6GHz,11000,8,RJ45 2.5G,540000,400,상,제조사 spec,AXE11000 / 가격 대략(2026-07)
Netgear Nighthawk RS700S,Netgear,Router,WiFi 7,2.4/5/6GHz,19000,8,RJ45 10G,700000,519,상,제조사 spec,BE19000 / 가격 대략(2026-07)
Linksys Hydra Pro 6,Linksys,Router,WiFi 6,2.4/5GHz,5400,4,RJ45 Gigabit,190000,141,상,제조사 spec,AX5400 / 가격 대략(2026-07)
TP-Link Deco X60 (2팩),TP-Link,Router,WiFi 6,2.4/5GHz,3000,internal,RJ45 Gigabit,215000,159,상,제조사 spec,메시 AX3000 / 가격 대략(2026-07)
TP-Link Deco BE85 (2팩),TP-Link,Router,WiFi 7,2.4/5/6GHz,22000,internal,RJ45 10G,900000,667,상,제조사 spec,메시 BE22000 / 가격 대략(2026-07)
ASUS ZenWiFi XT9 (2팩),ASUS,Router,WiFi 6,2.4/5GHz,5700,internal,RJ45 2.5G,485000,359,상,제조사 spec,메시 AX7800 / 가격 대략(2026-07)
Ubiquiti UniFi U6-Lite,Ubiquiti,Router,WiFi 6,2.4/5GHz,1500,internal,RJ45 Gigabit,135000,100,상,제조사 spec,AP AX1500 / 가격 대략(2026-07)
Ubiquiti UniFi U7 Pro,Ubiquiti,Router,WiFi 7,2.4/5/6GHz,9300,internal,RJ45 2.5G,260000,193,상,제조사 spec,AP BE9300 / 가격 대략(2026-07)
Intel AX211,Intel,M.2 module,WiFi 6E,2.4/5/6GHz,2402,2,M.2 CNVio2,30000,22,상,제조사 spec,CNVi 전용 / 가격 대략(2026-07)
Realtek RTL8852BE,Realtek,M.2 module,WiFi 6,2.4/5GHz,1201,2,M.2 2230,15000,11,상,제조사 spec,저가형 / 가격 대략(2026-07)
MediaTek MT7922,MediaTek,M.2 module,WiFi 6E,2.4/5/6GHz,2402,2,M.2 2230,25000,19,상,제조사 spec,BT5.2 / 가격 대략(2026-07)
Qualcomm QCNCM865,Qualcomm,M.2 module,WiFi 7,2.4/5/6GHz,5800,2,M.2 2230,50000,37,중,제조사 spec,BT5.4 / 가격 대략(2026-07)
TP-Link Archer T4U,TP-Link,USB adapter,WiFi 5,2.4/5GHz,1300,2,USB 3.0,28000,21,상,제조사 spec,AC1300급 / 가격 대략(2026-07)
Netgear Nighthawk A7000,Netgear,USB adapter,WiFi 5,2.4/5GHz,1900,3,USB 3.0,55000,41,상,제조사 spec,AC1900급 / 가격 대략(2026-07)
ASUS USB-AC68,ASUS,USB adapter,WiFi 5,2.4/5GHz,1900,2,USB 3.0,60000,44,상,제조사 spec,AC1900급 / 가격 대략(2026-07)
TP-Link Archer AX10,TP-Link,Router,WiFi 6,2.4/5GHz,1500,4,RJ45 Gigabit,55000,41,상,제조사 spec,AX1500 / 가격 대략(2026-07)
Xiaomi AX3000T,Xiaomi,Router,WiFi 6,2.4/5GHz,3000,4,RJ45 Gigabit,45000,33,상,제조사 spec,AX3000 / 가격 대략(2026-07)
ipTIME AX2004M,ipTIME,Router,WiFi 6,2.4/5GHz,2000,4,RJ45 Gigabit,50000,37,상,제조사 spec,국내 AX2004 / 가격 대략(2026-07)
ipTIME A8004T,ipTIME,Router,WiFi 5,2.4/5GHz,2033,8,RJ45 Gigabit,70000,52,상,제조사 spec,국내 AC2033 / 가격 대략(2026-07)
ipTIME AX3000M,ipTIME,Router,WiFi 6,2.4/5GHz,3000,4,RJ45 Gigabit,65000,48,상,제조사 spec,국내 AX3000 / 가격 대략(2026-07)
TP-Link Archer TXE72E,TP-Link,PCIe card,WiFi 6E,2.4/5/6GHz,2402,2,PCIe x1,58000,43,상,제조사 spec,AXE5400급 / 가격 대략(2026-07)
