name,brand,capacity_tb,rpm,cache_mb,interface,form_factor,launch_year,price_krw,price_usd,reliability,source,note
Seagate Exos X24 24TB,Seagate,24,7200,512,SATA III,3.5in,2024,810000,600,상,제조사 spec,엔터프라이즈 / 가격 대략(2026-07)
Toshiba P300 1TB,Toshiba,1,7200,64,SATA III,3.5in,2019,47000,35,상,제조사 spec,가격 대략(2026-07)
Toshiba P300 2TB,Toshiba,2,7200,64,SATA III,3.5in,2020,76000,56,상,제조사 spec,가격 대략(2026-07)
Toshiba X300 4TB,Toshiba,4,7200,128,SATA III,3.5in,2020,135000,100,상,제조사 spec,성능형 / 가격 대략(2026-07)
Toshiba X300 8TB,Toshiba,8,7200,128,SATA III,3.5in,2021,270000,200,상,제조사 spec,성능형 / 가격 대략(2026-07)
Toshiba N300 8TB,Toshiba,8,7200,256,SATA III,3.5in,2021,285000,211,상,제조사 spec,NAS용 / 가격 대략(2026-07)
Toshiba N300 16TB,Toshiba,16,7200,512,SATA III,3.5in,2022,545000,404,상,제조사 spec,NAS용 / 가격 대략(2026-07)
Toshiba MG09 18TB,Toshiba,18,7200,512,SATA III,3.5in,2021,620000,459,상,제조사 spec,엔터프라이즈 / 가격 대략(2026-07)
WD Blue 8TB,Western Digital,8,5640,256,SATA III,3.5in,2022,255000,189,상,제조사 spec,가격 대략(2026-07)
Seagate SkyHawk 4TB,Seagate,4,5900,256,SATA III,3.5in,2020,145000,107,상,제조사 spec,CCTV용 / 가격 대략(2026-07)
Seagate SkyHawk 8TB,Seagate,8,7200,256,SATA III,3.5in,2021,280000,207,상,제조사 spec,CCTV용 / 가격 대략(2026-07)
WD Purple 4TB,Western Digital,4,5400,256,SATA III,3.5in,2020,145000,107,상,제조사 spec,CCTV용 / 가격 대략(2026-07)
WD Purple 8TB,Western Digital,8,7200,256,SATA III,3.5in,2021,285000,211,상,제조사 spec,CCTV용 / 가격 대략(2026-07)
Seagate BarraCuda 500GB,Seagate,0.5,7200,32,SATA III,3.5in,2018,38000,28,상,제조사 spec,가격 대략(2026-07)
WD Blue 500GB,Western Digital,0.5,7200,32,SATA III,3.5in,2018,40000,30,상,제조사 spec,가격 대략(2026-07)
WD Blue Mobile 1TB,Western Digital,1,5400,128,SATA III,2.5in,2019,60000,44,상,제조사 spec,노트북용 / 가격 대략(2026-07)
Seagate BarraCuda Mobile 2TB,Seagate,2,5400,128,SATA III,2.5in,2020,95000,70,상,제조사 spec,노트북용 / 가격 대략(2026-07)
WD Black Mobile 1TB,Western Digital,1,7200,64,SATA III,2.5in,2019,90000,67,상,제조사 spec,노트북용 / 가격 대략(2026-07)
Seagate IronWolf 6TB,Seagate,6,5400,256,SATA III,3.5in,2020,215000,159,상,제조사 spec,NAS용 / 가격 대략(2026-07)
WD Red Plus 6TB,Western Digital,6,5400,256,SATA III,3.5in,2020,215000,159,상,제조사 spec,NAS용 / 가격 대략(2026-07)
Seagate Exos X16 14TB,Seagate,14,7200,256,SATA III,3.5in,2020,485000,359,상,제조사 spec,엔터프라이즈 / 가격 대략(2026-07)
Toshiba MG10 20TB,Toshiba,20,7200,512,SATA III,3.5in,2023,700000,519,상,제조사 spec,엔터프라이즈 / 가격 대략(2026-07)
WD Gold 12TB,Western Digital,12,7200,256,SATA III,3.5in,2021,445000,330,상,제조사 spec,엔터프라이즈 / 가격 대략(2026-07)
Seagate BarraCuda 6TB,Seagate,6,5400,256,SATA III,3.5in,2021,180000,133,상,제조사 spec,가격 대략(2026-07)
Toshiba N300 Pro 20TB,Toshiba,20,7200,512,SATA III,3.5in,2024,715000,530,중,제조사 spec,NAS용 / 가격 대략(2026-07)
