brand,country,size_label,volume_ml,hot_or_iced,reliability,source
엔제리너스,KR,20oz,550,both,med,coffee4m2022
더벤티,KR,미디엄,420,both,high,더벤티 공식QnA
더벤티,KR,라지,600,both,high,더벤티 공식QnA
더벤티,KR,점보,960,both,high,더벤티 공식QnA
메머드커피,KR,라지,940,both,med,나무위키/매머드
Starbucks,US,Short,237,hot,high,rd.com
Starbucks,US,Tall,355,both,high,rd.com
Starbucks,US,Grande,473,both,high,rd.com
Starbucks,US,Venti,591,hot,high,rd.com
Starbucks,US,Venti,710,iced,high,rd.com
Starbucks,US,Trenta,917,iced,high,rd.com
Starbucks,JP,Short,240,both,med,starbucks.co.jp
Starbucks,JP,Tall,350,both,med,starbucks.co.jp
Starbucks,JP,Grande,470,both,med,starbucks.co.jp
Starbucks,JP,Venti,590,hot,med,starbucks.co.jp
Costa,UK,Primo,355,both,high,Costa 공식X
Costa,UK,Medio,473,both,high,Costa 공식X
Costa,UK,Massimo,591,both,high,Costa 공식X
Tim Hortons,CA,Small,296,both,high,ruk.ca
Tim Hortons,CA,Medium,414,both,high,ruk.ca
Tim Hortons,CA,Large,591,both,high,ruk.ca
Tim Hortons,CA,XL,710,both,high,cbc.ca
Dunkin,US,Small,296,hot,high,dailycoffeeguide
Dunkin,US,Medium,414,hot,high,dailycoffeeguide
Dunkin,US,Large,591,hot,high,dailycoffeeguide
Dunkin,US,Small,473,iced,high,dailycoffeeguide
Dunkin,US,Medium,710,iced,high,dailycoffeeguide
Dunkin,US,Large,946,iced,high,dailycoffeeguide
Peet's,US,Demi,177,hot,med,caffeinepark
Peet's,US,Small,237,hot,med,caffeinepark
Peet's,US,Medium,473,hot,med,caffeinepark
Peet's,US,Large,591,hot,med,caffeinepark
Caribou,US,Small,355,both,med,foodqanda
Caribou,US,Medium,473,both,med,foodqanda
Caribou,US,Large,591,both,med,foodqanda
McCafe,US,Small,355,hot,med,lifeboost
McCafe,US,Medium,473,hot,med,lifeboost
McCafe,US,Large,591,hot,med,lifeboost
Gong Cha,UK,Regular,470,iced,med,gong-cha.co.uk
Gong Cha,UK,Large,650,iced,med,gong-cha.co.uk
Gong Cha,US,Medium,473,iced,med,gong-cha-usa
Gong Cha,US,Large,651,iced,med,gong-cha-usa
Gong Cha,US,XL,946,iced,med,gongcha-usa
7-Eleven,US,Small,355,iced,med,marketingscoop
7-Eleven,US,Medium,473,iced,med,marketingscoop
7-Eleven,US,Large,651,iced,med,marketingscoop
7-Eleven,US,X-Large,887,iced,low,marketingscoop
McDonald's,KR,S(콜라),220,iced,high,맥도날드공식PDF
McDonald's,KR,M(콜라),310,iced,high,맥도날드공식PDF
McDonald's,KR,L(콜라),430,iced,high,맥도날드공식PDF
McDonald's,KR,S(아메리카노),225,hot,high,맥도날드공식PDF
McDonald's,KR,M(아메리카노),330,hot,high,맥도날드공식PDF
McDonald's,KR,M(카페라떼),365,hot,high,맥도날드공식PDF
스무디킹,KR,S,360,iced,med,나무위키
스무디킹,KR,R,480,iced,med,나무위키
스무디킹,KR,L,600,iced,med,나무위키
Smoothie King,US,20oz,591,iced,high,smoothieking.com
Smoothie King,US,32oz,946,iced,high,smoothieking.com
Smoothie King,US,40oz,1183,iced,high,smoothieking.com
Chatime,글로벌,Regular,500,iced,med,bubbleteaworld
Chatime,글로벌,Large,700,iced,med,bubbleteaworld
The Alley,글로벌,Regular,500,iced,med,kinoi
The Alley,글로벌,Large,700,iced,med,kinoi
CoCo,글로벌,Regular(16oz),473,iced,med,yelp
CoCo,글로벌,Large(22oz),651,iced,med,yelp
Sharetea,글로벌,Large(24oz),710,iced,low,yelp
