brand,brand_en,country,size_label,diameter_inch,diameter_cm,area_cm2,slices,slice_area_cm2,price,currency,calories_per_slice,reliability,source
마르코스피자,Marcos Pizza,US,"Small 10""",10,25.4,507.0,,,,USD,,med,marcos.com
마르코스피자,Marcos Pizza,US,"Medium 12""",12,30.5,731.0,,,,USD,,med,marcos.com
마르코스피자,Marcos Pizza,US,"Large 14""",14,35.6,995.0,8,124.0,,USD,,med,marcos.com
마르코스피자,Marcos Pizza,US,"XL 16""",16,40.6,1295.0,12,108.0,,USD,340,med,marcos.com
파파머피스,Papa Murphys,US,"Large 14""",14,35.6,995.0,12,83.0,,USD,,high,papamurphys.com
파파머피스,Papa Murphys,US,"Family 16""",16,40.6,1295.0,16,81.0,,USD,,high,papamurphys.com
스바로,Sbarro,US,"XL NY 17""",17,43.2,1466.0,6,244.0,,USD,850,high,sbarro.com
코스트코,Costco Food Court,US,"18""",18,45.7,1640.0,6,273.0,9.95,USD,710,high,costco
라운드테이블,Round Table,US,"Personal 6.5""",6.5,16.5,214.0,4,54.0,,USD,,high,roundtablepizza.com
라운드테이블,Round Table,US,"Small 9.5""",9.5,24.1,456.0,6,76.0,,USD,,high,roundtablepizza.com
라운드테이블,Round Table,US,"Medium 12""",12,30.5,731.0,8,91.0,,USD,,high,roundtablepizza.com
라운드테이블,Round Table,US,"Large 14""",14,35.6,995.0,12,83.0,,USD,,high,roundtablepizza.com
라운드테이블,Round Table,US,"XL 16""",16,40.6,1295.0,16,81.0,,USD,,high,roundtablepizza.com
헝그리하우이스,Hungry Howies,US,"Small 10""",10,25.4,507.0,6,84.0,,USD,,med,hungryhowies.com
헝그리하우이스,Hungry Howies,US,"Medium 12""",12,30.5,731.0,8,91.0,,USD,,med,hungryhowies.com
헝그리하우이스,Hungry Howies,US,"Large 14""",14,35.6,995.0,8,124.0,,USD,,low,hungryhowies.com(14/16 충돌)
헝그리하우이스,Hungry Howies,US,"XL 16""",16,40.6,1295.0,8,162.0,,USD,,med,hungryhowies.com
제츠피자,Jets Pizza,US,"Small 10""",10,25.4,507.0,4,127.0,,USD,,med,jetspizza.com
제츠피자,Jets Pizza,US,"Medium 12""",12,30.5,731.0,8,91.0,,USD,,med,jetspizza.com
제츠피자,Jets Pizza,US,"Large 14""",14,35.6,995.0,8,124.0,,USD,,med,jetspizza.com
시시스,Cicis,US,"Buffet 12""",12,30.5,731.0,,,,USD,190,med,cicis.com
시시스,Cicis,US,"Buffet 15""",15,38.1,1140.0,,,,USD,,med,cicis.com
미스터피자,Mr.Pizza,KR,L(라지),14,35.6,995.0,10,100.0,,KRW,,med,namu/mrpizza
피자마루,Pizza Maru,KR,L(라지),13,33.0,855.0,,,,KRW,,med,pizzamaru.co.kr
7번가피자,7th Pizza,KR,1인용,9,22.9,412.0,6,69.0,,KRW,,high,7thpizza.com
7번가피자,7th Pizza,KR,R(레귤러),10.6,26.9,568.0,8,71.0,19900,KRW,,high,7thpizza.com
7번가피자,7th Pizza,KR,L(라지),12.6,32.0,804.0,8,100.0,25900,KRW,,high,7thpizza.com
7번가피자,7th Pizza,KR,G(자이언트),15.7,39.9,1250.0,10,125.0,36900,KRW,,high,7thpizza.com
피자알볼로,Pizza Alvolo,KR,R(레귤러),9.8,25,491.0,6,82.0,,KRW,,high,pizzaalvolo.co.kr
피자알볼로,Pizza Alvolo,KR,L(라지),13.0,33,855.0,8,107.0,,KRW,,high,pizzaalvolo.co.kr
피자라,Pizza-La,JP,P,9,22.9,412.0,6,69.0,,JPY,,high,pizza-la.co.jp
피자라,Pizza-La,JP,M,10,25.4,507.0,8,63.0,1980,JPY,,high,pizza-la.co.jp
피자라,Pizza-La,JP,L,13,33.0,855.0,8,107.0,3640,JPY,,high,pizza-la.co.jp
아오키스피자,Aokis Pizza,JP,M,9.8,25,491.0,8,61.0,,JPY,121,high,aokispizza.co.jp
아오키스피자,Aokis Pizza,JP,L,13.0,33,855.0,12,71.0,,JPY,,high,aokispizza.co.jp
나폴리 정통피자,Vera Pizza Napoletana,IT,1인 1판,13.8,35,962.0,1,962.0,,,,high,pizzanapoletana.org(AVPN)
도미노피자,Dominos,IN,Regular,8,20.3,324.0,4,81.0,,INR,,med,quora
도미노피자,Dominos,IN,Medium,10,25.4,507.0,6,84.0,,INR,,med,quora
도미노피자,Dominos,IN,Large,12,30.5,731.0,8,91.0,,INR,,med,quora
도미노피자,Dominos,CA,Small,10,25.4,507.0,6,84.0,,CAD,,low,slicepizzeria
도미노피자,Dominos,CA,Medium,12,30.5,731.0,8,91.0,,CAD,,low,slicepizzeria
도미노피자,Dominos,CA,Large,14,35.6,995.0,10,100.0,,CAD,,low,slicepizzeria
도미노피자,Dominos,MX,Mediana,11.5,29.2,670.0,,,,MXN,,low,slicepizzeria
도미노피자,Dominos,MX,Grande,13.5,34.3,924.0,,,,MXN,,low,slicepizzeria
도미노피자,Dominos,AU,Standard,11.5,29.2,670.0,6,112.0,,AUD,,low,measuremypizza
피자헛,Pizza Hut,AU,Regular,7.5,19.1,287.0,,,,AUD,,med,pizzahut.co.nz
피자헛,Pizza Hut,AU,Large,10.75,27.3,585.0,,,,AUD,,med,pizzahut.co.nz
피자헛,Pizza Hut,AU,XL,14,35.6,995.0,,,,AUD,,med,pizzahut.co.nz
피자헛,Pizza Hut,IN,Medium,10.5,26.7,560.0,8,70.0,,INR,,med,공식X
텔레피자,Telepizza,ES,Mediana,11.4,29,661.0,8,83.0,,EUR,,low,circolopizza
텔레피자,Telepizza,ES,Megamediana,13.0,33,855.0,8,107.0,,EUR,,med,공식보도
텔레피자,Telepizza,ES,Familiar,15.7,40,1257.0,8,157.0,,EUR,,low,lagulateca
피자피자,Pizza Pizza,CA,Small,10,25.4,507.0,6,84.0,,CAD,,low,pizzapizza.ca
피자피자,Pizza Pizza,CA,Medium,12,30.5,731.0,8,91.0,,CAD,,low,pizzapizza.ca
피자피자,Pizza Pizza,CA,Large,14,35.6,995.0,10,100.0,,CAD,,low,pizzapizza.ca
그린위치,Greenwich,PH,Solo,6,15.2,181.0,4,45.0,,PHP,,med,greenwichmenuph
그린위치,Greenwich,PH,Double,9,22.9,412.0,6,69.0,,PHP,,med,greenwichmenuph
그린위치,Greenwich,PH,Barkada,12,30.5,731.0,8,91.0,,PHP,,med,greenwichmenuph
그린위치,Greenwich,PH,Party,15,38.1,1140.0,12,95.0,,PHP,,med,greenwichmenuph
셰이키스,Shakeys,PH,Regular,8,20.3,324.0,,,,PHP,,med,공식X
셰이키스,Shakeys,PH,Large,11,27.9,611.0,,,,PHP,,med,공식X
셰이키스,Shakeys,PH,Party,14,35.6,995.0,,,,PHP,,med,공식X
데보네어스,Debonairs,ZA,Small,7.5,19,284.0,,,,ZAR,,high,공식메뉴PDF
데보네어스,Debonairs,ZA,Medium,9.1,23,415.0,,,,ZAR,,high,공식메뉴PDF
데보네어스,Debonairs,ZA,Large,11.8,30,707.0,,,,ZAR,,high,공식메뉴PDF
피자익스프레스,Pizza Express,UK,Classic,11,27.9,611.0,,,,GBP,,high,공식X
피자익스프레스,Pizza Express,UK,Large Classic,13,33.0,855.0,,,,GBP,,med,공식메뉴
피자익스프레스,Pizza Express,UK,Romana,14,35.6,995.0,,,,GBP,,high,공식X
빽보이피자,Backboy Pizza,KR,R,10,25.4,507.0,,,,KRW,,med,bizwatch
빽보이피자,Backboy Pizza,KR,L,13,33.0,855.0,,,,KRW,,med,bizwatch
청년피자,Cheongnyeon Pizza,KR,라지,9,22.9,412.0,,,,KRW,,low,fmkorea
블레이즈피자,Blaze Pizza,US,"11"" (Build Your Own)",11,27.9,611.4,6,101.9,,,,high,blazepizza.com
블레이즈피자,Blaze Pizza,US,"Large 14"" (Shareable)",14,35.6,995.4,8,124.4,,,,med,qsrmagazine.com/blaze-large
모드피자,MOD Pizza,US,"MOD 11""",11,27.9,611.4,6,101.9,,,,high,modpizza.com
모드피자,MOD Pizza,US,"Mini 6""",6,15.2,181.5,4,45.4,,,,med,modpizza.com
캘리포니아피자키친,California Pizza Kitchen,US,"Individual 9""",9,22.9,411.9,6,68.6,,,,med,"cpk.com(추정 9"")"
캘리포니아피자키친,California Pizza Kitchen,US,"Frozen 12""",12,30.5,730.6,8,91.3,,,,high,"cpk frozen retail 12"""
멜로우머쉬룸,Mellow Mushroom,US,"Small 10""",10,25.4,506.7,4,126.7,,,,high,mellowmushroom.com
멜로우머쉬룸,Mellow Mushroom,US,"Medium 14""",14,35.6,995.4,8,124.4,,,,high,mellowmushroom.com
멜로우머쉬룸,Mellow Mushroom,US,"Large 16""",16,40.6,1294.6,8,161.8,,,,high,mellowmushroom.com
마운틴마이크스,Mountain Mikes,US,"Small 10""",10,25.4,506.7,6,84.5,,,,high,mountainmikespizza.com
마운틴마이크스,Mountain Mikes,US,"Medium 12""",12,30.5,730.6,8,91.3,,,,high,mountainmikespizza.com
마운틴마이크스,Mountain Mikes,US,"Large 14""",14,35.6,995.4,8,124.4,,,,high,mountainmikespizza.com
마운틴마이크스,Mountain Mikes,US,"Mountain 20""",20,50.8,2026.8,12,168.9,,,,high,mountainmikespizza.com
갓파더스,Godfathers Pizza,US,"Mini 6""",6,15.2,181.5,4,45.4,,,,med,godfathers.com nutrition PDF
갓파더스,Godfathers Pizza,US,"Small 10""",10,25.4,506.7,6,84.5,,,,med,godfathers.com nutrition PDF
갓파더스,Godfathers Pizza,US,"Medium 12""",12,30.5,730.6,8,91.3,,,,med,godfathers.com nutrition PDF
갓파더스,Godfathers Pizza,US,"Large 14""",14,35.6,995.4,10,99.5,,,,med,godfathers.com nutrition PDF
갓파더스,Godfathers Pizza,US,"Jumbo 16""",16,40.6,1294.6,12,107.9,,,,low,godfathers.com(슬라이스 매장편차)
도나토스,Donatos,US,"Individual 7""",7,17.8,248.8,8,31.1,,,,high,donatos.com nutrition
도나토스,Donatos,US,"Small 10""",10,25.4,506.7,14,36.2,,,,high,donatos.com nutrition
도나토스,Donatos,US,"Medium 12""",12,30.5,730.6,14,52.2,,,,high,donatos.com nutrition
도나토스,Donatos,US,"Large 14""",14,35.6,995.4,17,58.6,,,,high,donatos.com nutrition
레도피자,Ledo Pizza,US,"Personal 8"" (square)",8,20.3,323.7,9,36.0,,,,med,ledopizza.com(정사각)
레도피자,Ledo Pizza,US,"Large 18"" (square)",18,45.7,1640.3,12,136.7,,,,med,ledopizza.com(정사각)
앤드피자,&pizza,US,"Oblong 17.5x6"" (oval)",,,,,,,,,med,andpizza.com(타원 17.5x6인치·지름無)
피자헛,Pizza Hut,UK,"Medium 11""",11,27.9,611.4,6,101.9,,,,med,pizzahut.co.uk(비공식 inch)
피자헛,Pizza Hut,UK,"Large 14""",14,35.6,995.4,10,99.5,,,,med,pizzahut.co.uk(비공식 inch)
피자헛,Pizza Hut,UK,"Individual 9""",9,22.9,411.9,4,103.0,,,,low,pizzahut.co.uk(추정)
프랑코만카,Franco Manca,UK,"Sourdough ~26cm",10.2,26.0,530.9,,,,,,low,francomanca.co.uk(홈쿡 26cm팬 기준·추정)
바파노,Vapiano,EU,"Standard 30cm",11.8,30.0,706.9,6,117.8,,,,med,vapiano menu(30cm)
도미노피자,Dominos,JP,"마이도미노 18cm",7.1,18.0,254.5,4,63.6,,,,high,dominos.jp
도미노피자,Dominos,JP,"S 23cm",9.1,23.0,415.5,8,51.9,,,,high,dominos.jp
도미노피자,Dominos,JP,"M 27cm",10.6,27.0,572.6,8,71.6,,,,high,dominos.jp
도미노피자,Dominos,JP,"L 32cm",12.6,32.0,804.2,12,67.0,,,,high,dominos.jp
피자헛,Pizza Hut,CN,"개인 6""",6,15.2,181.5,4,45.4,,,,med,pizzahut.com.cn/kknews
피자헛,Pizza Hut,CN,"보통 9"" (팬)",9,22.9,411.9,6,68.6,,,,med,pizzahut.com.cn/kknews(20cm팬)
피자헛,Pizza Hut,CN,"大 12"" (팬)",12,30.5,730.6,8,91.3,,,,med,pizzahut.com.cn/kknews(28cm팬)
도미노피자,Dominos,CN,"小 7""",7,17.8,248.8,4,62.2,,,,med,extrabux/dominos.cn
도미노피자,Dominos,CN,"中 9""",9,22.9,411.9,6,68.6,,,,med,extrabux/dominos.cn
도미노피자,Dominos,CN,"大 12""",12,30.5,730.6,8,91.3,,,,med,extrabux/dominos.cn
더피자컴퍼니,The Pizza Company,TH,"New York XXL 18""",18,45.7,1640.3,,,,,,med,"minorfood.com(18"" 발표)"
피자헛,Pizza Hut,SG,"Personal 6""",6,15.2,181.5,4,45.4,,,,high,pizzahut.com.sg
피자헛,Pizza Hut,SG,"Regular 9""",9,22.9,411.9,6,68.6,,,,high,pizzahut.com.sg
피자헛,Pizza Hut,SG,"Large 12""",12,30.5,730.6,8,91.3,,,,high,pizzahut.com.sg
루말나티스,Lou Malnatis,US,"Deep Dish 9""",9,22.9,411.9,,,,,,high,"loumalnatis.com(딥디시 9"")"
지오다노스,Giordanos,US,"Deep Dish 10""",10,25.4,506.7,,,,,,high,"giordanos.com(딥디시 10"")"
로마식 알 탈리오,Pizza al Taglio,IT,"Tray 60x40cm (직사각)",,,2400,,,,,,high,en.wikipedia.org/Pizza_al_taglio(60x40cm 트레이·조각판매)
